city,state_id,population
New York,NY,19354922.0
Los Angeles,CA,12815475.0
Chicago,IL,8675982.0
Miami,FL,6381966.0
Dallas,TX,5733259.0
Philadelphia,PA,5637884.0
Houston,TX,5446468.0
Washington,DC,5289420.0
Atlanta,GA,5228750.0
Boston,MA,4637537.0
Phoenix,AZ,4081849.0
Seattle,WA,3643765.0
San Francisco,CA,3603761.0
Detroit,MI,3522206.0
San Diego,CA,3210314.0
Minneapolis,MN,2926757.0
Tampa,FL,2804240.0
Denver,CO,2787266.0
Brooklyn,NY,2629150.0
Queens,NY,2333054.0
Baltimore,MD,2170504.0
Riverside,CA,2084749.0
Saint Louis,MO,2078283.0
Las Vegas,NV,2073045.0
Portland,OR,2052796.0
San Antonio,TX,2002530.0
Sacramento,CA,1854698.0
San Jose,CA,1821899.0
Orlando,FL,1776841.0
Cleveland,OH,1730363.0
Pittsburgh,PA,1715297.0
Cincinnati,OH,1648254.0
Manhattan,NY,1643734.0
Austin,TX,1638716.0
Kansas City,MO,1615621.0
Indianapolis,IN,1564699.0
Columbus,OH,1528314.0
Virginia Beach,VA,1480383.0
Charlotte,NC,1467362.0
Bronx,NY,1455720.0
Milwaukee,WI,1377808.0
Providence,RI,1206642.0
Jacksonville,FL,1156291.0
Salt Lake City,UT,1098400.0
Nashville,TN,1076645.0
Memphis,TN,1068873.0
Richmond,VA,1059907.0
New Orleans,LA,1029123.0
Raleigh,NC,1018336.0
Louisville,KY,1011696.0
